Country,Rank,Score,Unexplained,GDP,Social_support,Health,Freedom,Generosity,Corruption
Finland,1,7.769,2.714,1.340,1.587,0.986,0.596,0.153,0.393
Denmark,2,7.600,2.393,1.383,1.573,0.996,0.592,0.252,0.410
Norway,3,7.554,2.241,1.488,1.582,1.028,0.603,0.271,0.341
Iceland,4,7.494,2.401,1.380,1.624,1.026,0.591,0.354,0.118
Netherlands,5,7.488,2.393,1.396,1.522,0.999,0.557,0.322,0.298
Switzerland,6,7.480,2.272,1.452,1.526,1.052,0.572,0.263,0.343
Sweden,7,7.343,2.246,1.387,1.487,1.009,0.574,0.267,0.373
New Zealand,8,7.307,2.127,1.303,1.557,1.026,0.585,0.330,0.380
Canada,9,7.278,2.193,1.365,1.505,1.039,0.584,0.285,0.308
Austria,10,7.246,2.378,1.376,1.475,1.016,0.532,0.244,0.226
Australia,11,7.228,2.094,1.372,1.548,1.036,0.557,0.332,0.290
Costa Rica,12,7.167,2.933,1.034,1.441,0.963,0.558,0.144,0.093
Israel,13,7.139,2.665,1.276,1.455,1.029,0.371,0.261,0.082
Luxembourg,14,7.090,1.954,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,15,7.054,2.112,1.333,1.538,0.996,0.450,0.348,0.278
Ireland,16,7.021,1.845,1.499,1.553,0.999,0.516,0.298,0.310
Germany,17,6.985,2.150,1.373,1.454,0.987,0.495,0.261,0.265
Belgium,18,6.923,2.235,1.356,1.504,0.986,0.473,0.160,0.210
United States,19,6.892,2.266,1.433,1.457,0.874,0.454,0.280,0.128
Czech Republic,20,6.852,2.636,1.269,1.487,0.920,0.457,0.046,0.036
United Arab Emirates,21,6.825,2.145,1.503,1.310,0.825,0.598,0.262,0.182
Malta,22,6.726,1.816,1.300,1.520,0.999,0.564,0.375,0.151
Mexico,23,6.595,2.761,1.070,1.323,0.861,0.433,0.074,0.073
France,24,6.592,2.021,1.324,1.472,1.045,0.436,0.111,0.183
Taiwan Province of China,25,6.446,2.045,1.368,1.430,0.914,0.351,0.242,0.097
Chile,26,6.444,2.397,1.159,1.369,0.920,0.357,0.187,0.056
Guatemala,27,6.436,2.833,0.800,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,28,6.375,2.169,1.403,1.357,0.795,0.439,0.080,0.132
Qatar,29,6.374,1.565,1.684,1.313,0.871,0.555,0.220,0.167
Spain,30,6.354,1.929,1.286,1.484,1.062,0.362,0.153,0.079
Panama,31,6.321,2.141,1.149,1.442,0.910,0.516,0.109,0.054
Brazil,32,6.300,2.480,1.004,1.439,0.802,0.390,0.099,0.086
Uruguay,33,6.293,2.014,1.124,1.465,0.891,0.523,0.127,0.150
Singapore,34,6.262,0.807,1.572,1.463,1.141,0.556,0.271,0.453
El Salvador,35,6.253,2.831,0.794,1.242,0.789,0.430,0.093,0.074
Italy,36,6.223,1.984,1.294,1.488,1.039,0.231,0.158,0.030
Bahrain,37,6.199,1.698,1.362,1.368,0.871,0.536,0.255,0.110
Slovakia,38,6.198,2.097,1.246,1.504,0.881,0.334,0.121,0.014
Trinidad and Tobago,39,6.192,2.081,1.231,1.477,0.713,0.489,0.185,0.016
Poland,40,6.182,2.003,1.206,1.438,0.884,0.483,0.117,0.050
Uzbekistan,41,6.174,1.951,0.745,1.529,0.756,0.631,0.322,0.240
Lithuania,42,6.149,2.202,1.238,1.515,0.818,0.291,0.043,0.042
Colombia,43,6.125,2.286,0.985,1.410,0.841,0.470,0.099,0.034
Slovenia,44,6.118,1.618,1.258,1.523,0.953,0.564,0.144,0.057
Nicaragua,45,6.105,2.490,0.694,1.325,0.835,0.435,0.200,0.127
Kosovo,46,6.100,2.469,0.882,1.232,0.758,0.489,0.262,0.006
Argentina,47,6.086,2.096,1.092,1.432,0.881,0.471,0.066,0.050
