Country (region),Ladder,SD of Ladder,Positive affect,Negative affect,Social support,Freedom,Corruption,Generosity,"Log of GDP
per capita","Healthy life
expectancy"
Finland,1,4,41,10,2,5,4,47,22,27
Denmark,2,13,24,26,4,6,3,22,14,23
Norway,3,8,16,29,3,3,8,11,7,12
Iceland,4,9,3,3,1,7,45,3,15,13
Netherlands,5,1,12,25,15,19,12,7,12,18
Switzerland,6,11,44,21,13,11,7,16,8,4
Sweden,7,18,34,8,25,10,6,17,13,17
New Zealand,8,15,22,12,5,8,5,8,26,14
Canada,9,23,18,49,20,9,11,14,19,8
Austria,10,10,64,24,31,26,19,25,16,15
Australia,11,26,47,37,7,17,13,6,18,10
Costa Rica,12,62,4,87,42,16,58,75,67,28
Israel,13,14,104,69,38,93,74,24,31,11
Luxembourg,14,3,62,19,27,28,9,30,2,16
United Kingdom,15,16,52,42,9,63,15,4,23,24
Ireland,16,34,33,32,6,33,10,9,6,20
Germany,17,17,65,30,39,44,17,19,17,25
Belgium,18,7,57,53,22,53,20,44,21,26
United States,19,49,35,70,37,62,42,12,10,39
Czech Republic,20,20,74,22,24,58,121,117,32,31
United Arab Emirates,21,65,43,56,72,4,,15,4,60
Malta,22,42,83,103,16,12,32,5,28,19
Mexico,23,76,6,40,67,71,87,120,57,46
France,24,19,56,66,32,69,21,68,25,5
Taiwan,25,37,17,1,48,102,56,56,,
Chile,26,61,15,78,58,98,99,45,49,30
Guatemala,27,136,8,85,78,25,82,78,99,85
Saudi Arabia,28,93,49,82,62,68,,82,11,74
Qatar,29,86,,,,,,,1,43
Spain,30,21,107,107,26,95,78,50,30,3
Panama,31,121,7,48,41,32,104,88,51,33
Brazil,32,116,69,105,43,84,71,108,70,72
Uruguay,33,88,10,76,35,30,33,80,52,35
Singapore,34,5,38,2,36,20,1,21,3,1
El Salvador,35,112,23,84,83,74,85,134,100,75
Italy,36,31,99,123,23,132,128,48,29,7
Bahrain,37,83,39,83,59,24,,23,20,42
Slovakia,38,39,53,47,21,108,142,70,35,38
Trinidad and Tobago,39,89,14,52,29,51,141,41,38,93
Poland,40,28,76,33,44,52,108,77,41,36
Uzbekistan,41,99,19,15,11,1,18,29,104,83
Lithuania,42,55,138,41,17,122,113,124,36,62
Colombia,43,120,30,88,52,56,124,111,74,51
Slovenia,44,54,114,71,14,13,97,54,34,29
